424,4,Cam porselen gibi maddelerden yapilmis esyaya ne denir?,Aktar,Zuccaciye,Nalbur,Bijuteri,B
425,5,Ornek alinan hayranlik duyulan kisilere ne denir?,Sef,Duayen,CEO,Idol,D
426,6,TV'de dinlediginiz ses hangi hayvana aittir?,Deve,Fil,Boga,Maymun,B
430,7,1963 yilina kadar kisa filmleriyle birlikte 7.5 film caktigi icin sonraki filmine 8 Bucuk adini veren yonetmen kimdir?,Akira Kurosawa,Bernardo Bertolucci,Federico Fellini,Woody Allen,C
431,8,Adini Napolyon'a bagli bir askerden alan siyasi terim nedir?,Anarsizm,Sovenizm,Dadaizm,Vandalizm,B
432,1,Lezzettli ve guzel yemek sirasinda sevilen kisinin orada olmamasi nasil ifade edilir?,Icime kurt dustu,Canima degsin,Bana kadar kaldi,Sensiz bogazimdan gecmedi,D
433,2,Anneler istemedikleri birseyi yapmasinlar diye cocuklarina ne derler?,Babana soylerim,Koca adam oldun,Annene soylerim,Sessiz kalirim,A
434,3,Askin simgesi hangisidir?,Papatya,Manolya,Karanfil,Gul,D
435,4,Resmi belgelerde kullanilan pul hangisidir?,Damga pulu,Posta pulu,Bagis pulu,Tescil pulu,A
436,1,Birinin yaninda onun hizmetine hazir oldugunu gerekli gereksiz gostermeye ne denir?,Gozu kara,Deli Divane ,Pesinde dolasmak,Pervane olmak,D
437,2,Calismadigim yerden cikti sozunu kim soyler?,Ogrenciler,Futbolcular,Hakimler,Arkeologlar,A
438,5,Bir kisiye sirtini donup kollarini birakmaya ne denir?,Sabir testi,Karakter testi,Iliski testi,Guven testi,D
439,6,Cali cirpi ile baraj yapan hayvan hangisidir?,Kirpi,Su aygiri,Kunduz,Manda,C
440,7,TV'de dinlediginiz sarkida yapilan dansin adi nedir?,Breakdance,Lambada,Vak vak,Moonwalk,C
441,8,Scream filminde katilin yuzune taktigi maske hangi ressamin ayni adli resminden uyarlanmistir?,Gustav Klimt,Edvard Munch,Caravaggio,Frida Kahlo,B
442,9,Aski anlatmak icin ne soylersem soyliyim asil ask belirdi mi sozlerimden utanirim sozu kimi aittir?,William Shakespeare,Seyh Galip,Yavuz Slutan Selim,Mevlana,D
443,10,2012'de Birlesmis Milletler 20 Mart'in ne gunu olarak kutlanmasina karar vermistir?,Mutluluk gunu,Dostluk gunu,Kardeslik gunu,Ask gunu,A
444,2,Torbadan numarali taslar cekilerek oynanan oyun hangisidir?,Amiralbatti,Kizmabirader,Dokuztas,Tombala,D
445,3,Yemeklik sogan nasil dogranir?,Dilim,Tel,Kup,Halka,C
446,4,Cok gidiklanan insanlar nasildir?,Kiskanc,Cimri,Komik,Geveze,A
447,7,2012 Time yilin kisisi kimdir?,Lady Gaga,Barack Obama,Mark Zuckerberg,Lionel Messi,B
448,8,Yusuf Has Hacib'in eseri Kudagu Biligin anlami nedir?,Kapilari acan bilgi,Kilavuzluk eden bilgi,Guc veren bilgi,Mutluluk veren bilgi,D
449,9,Dugunde beyaz gelinlik giyerek moda olmasini saglayan kimdir?,Chanel,Twiggy,Kralice Victoria,Jacqueline Kennedy,C
450,10,Hangi ulkenin kadin cumhurbaskani 1994'te annesini basbakan atamistir?,Yeni Zelanda,Filipinler,Pakistan,Sri Lanka,D
451,1,Noel Baba'nin kizagini hangi hayvan ceker?,Ceylan,Geyik,At,Kopek,B
452,2,Filmlerde carpisip kitap dusunce kizla erkek arasinda ne olur?,Hafiza kaybi,Ask,Dostluk,Suphe,B
453,8,1992'de ilk mesajda ne yaziyordu?,Iyi ki dogdun,Basardik,Mutlu noeller,Iyi Gunler,C
454,9,ET filminin Turk versiyonunun adi nedir?,UZO,Badi,Dodo,Hudaverdi,B
455,10,Hangisi cevirmeli telefonlarda en hizli cevrilebilen numaralara gore belirlenmistir?,Sehir kodlari,Bilinmeyen numaralar,Cagri merkezleri,Ucretsiz hatlar,A
456,1,Eskiden limon ya da biryantinle taranmis saclara ne denirdi?,Inek yalamis,Kus konmus,Elektrik carpmis,Manda yuva yapmis,A
457,2,Yeni yilda ilk neyin haberi yapilir?,Kavga,Bebek,Gunes,Kaza,B
458,5,TV'de dinlediginiz Jingle Bells melodisi ne zaman calarr?,Sevgililer gunu,Yeni yil,Cenaze,Dugun,B
459,6,Bilmecede birbirini yememeleri istenenler arasinda hangisi yoktur?,Kemik,Kurt,Ot,Kuzu,A
460,6,Hangisi yeni yila daha erken girer?,Amerika,Rusya,Norvec,Avustralya,D
461,9,"Amerikarli Thomast nast, hangisine son halini vermistir?",Sam Amca,Noel Baba,Kel Kartal,Dolar isareti,B
462,10,Yiyecegini suda yikamadan yemeyen hayvan hangisidir?,Rakun,Kokarca,Gelincik,Panda,A
463,11,Kimyager Wallace Hume Carothers hangi bulusu ile ticari olarak buyuk endustri olusmasina neden olmustur?,Cimento,Kaucuk,Naylon,Pil,B
464,1,"Hindistan’da yer alan, icinde tum insanlarin baris icinde yasamasini hedefleyen, UNESCO’nun destek verdigi sehir projesinin adi nedir?",Goodville,Auroville,Harmonyville,Ecoville,B
465,2,"Osmanli’da, sahiplerinin devletten ruhsat alarak islettikleri meyhanelere ne ad verilirdi?",Mudavim,Gedikli,Musallat,Kamber,A
466,3,"Osmanli’da, sahiplerinin devletten ruhsat alarak islettikleri meyhanelere ne ad verilirdi?",Mudavim,Gedikli,Musallat,Kamber,B
467,4,"Hindistan’da yer alan, icinde tum insanlarin baris icinde yasamasini hedefleyen, UNESCO’nun destek verdigi sehir projesinin adi nedir?",Goodville,Auroville,Harmonyville,Ecoville,B
468,5,“Pal Sokagi Cocuklari” romaninin sonunda roman kahramanlarinin oynadigi araziye ne olur?,Ev yapilir,Koru yapilir,Otopark yapilir,Anit dikilir,A
469,6,Turkiye buyuk milet meclisi baska hangi adla anilir? ,Danistay,Baro,Parlamento,Yuce divan,C
470,7,2005 yilinda Turk lirasindan kac sifir atilmistir?,3,4,5,6,D
471,1,Sol anahtari hangi meslegi yapan kisilerin kullandigi bir terimdir?,Cilingir,Marangoz,Tamirci,Muzisyen,D
472,2,Filistin halkinin israil isgaline karsi baslattigi baskaldiriyi simgeleyen soz hangisidir?,Partizan,Arap bahari,Pasif direnis,Intifada,D
473,1,Soguk havalarda sicak birseyler icince ne denir?,Havamiz degisti,Kanimiz kaynadi,Gozumuz acildi,Icimiz isindi,D
474,2,Karikatur ve filmlerde aile reisi piknikte ne giyer?,Bornoz,Tulum,Cizgili pijama,Beyaz onluk,C
475,3,"Elektrik anahtari icerdeyse, genellikle evin hangi bolumunde bulunur?",Yatak odasi,Salon,Mutfak,Banyo,D
476,4,21 Aralik'ta kiyametle unlenen ilce hangisidir?,Sirince,Ezine,Mengen,Alacati,A
477,5,Rengarenk kivircik sacli oyuncak bebekler hangi sebzeyle anilir?,Lahana,Patlican,Domates,Patates,A
478,6,Kurutuldugunda gri renk olan lavanta cicegi ne renktir?,Pembe,Mor,Kirmizi,Sari,B
479,7,TV'de dinlediginiz 'Aglasam sesimi duyar misiniz...' siiri hangi saire aittir?,Ahmet Muhip Diranas,Ozdemir Asaf,Orhan Veli Kanik,Oktay Rifat,C
480,8,Osmanli doneminde gizli polis amirine ne ad verilirdi?,Biyiklibasi,Tebdilbasi,Sahinbasi,Bocekbasi,D
481,1,Bir yastiga bas koymak ne demektir?,Evlilik,Dostluk,Ortaklik,Cimrilik,A
482,2,Halk arasinda muzigin ne oldugu soylenir?,Askin meyvesi,Kalbin aynasi,Aklin yolu,Ruhun gidasi,D
483,3,Kadinlarin kivircik yapmak icin saclarina taktigi nedir?,Fon,Masa,Firkete,Bigudi,D
484,4,80li yillarda hemen her evde bulunan elektrik duzenleyicisi nedir?,Regulator,Trafo,Rezistans,Aspirator,A
485,5,Garp cephesinde yeni birsey yok kitabinin adindaki Garp ne demektir?,Kuzey,Guney,Dogu,Bati,D
486,6,TV'de dinlediginiz 'Asiye' turkunsunu kim seslendirmektedir?,Arif Sag,Kamil Sonmez,Volkan Konak,Kazim Koyuncu,B
487,7,Gectigimiz gunlerde Turgut Ozal'dan baska hangi liderin naasi mezarindan cikarilip incelenmistir?,Hafiz Esad,Boris Yeltsin,Yaser Arafat,Froncois Mitterand,C
488,8,Nazim Hikmet 'Kimi oldurmeye gidiyorsun Ahmet?' dizelerini hangi savas icin yazmistir?,Kore Savasi,I. Dunya Savasi,Balkan Savasi,Trablusgarp Savasi,A
489,9,Gunumuzde saglik alanindaki onlemler anlaminda kullanilan hijyenin asil anlami nedir?,Yagmur suyu,Yunan tanricasi,Latince beyaz,Kimyasal madde,B
490,1,Cok uzulmek anlamindaki sozde hangisi sizlar?,Burnunun diregi,Dilinin kemigi,Avucunun ici,Gozunun bebegi,A
491,2,Anneler oyun oynarken terleyip hast olmasin diye sirtina ne koyarlar?,Carsaf,Tulbent,Sunger,Mendil,B
492,3,Cocuklar iskambil kagitlarini devirmeden hangisini yapmaya calisirlar?,Tren,Kopru,Kule,Tunel,C
493,4,Buzagi hangi hayvanin yavrusudur?,Deve,Manda,Koyun,Inek,D
494,1,Istedigimiz sorudan baslayabilir miyiz ozellikle kimin sordugu sorudur?,Yarismacilarin,Psikologlarin,Avukatlarin,Ogrencilerin,D
495,2,Basa gelmesinden korkulan olaydan bahsederken tahtaya kac kez vurulur?,1,3,4,6,B
496,3,Alfabetik siraya gore once hangisi yazilir?,Taksit,Talih,Tahliye,Tarif,C
497,4,Toplam 5 golun atildigi macta kazanan takim en az kac gol atmistir?,2,3,4,5,B
498,5,Sirtustu yatarken iki elin basin arkasinda birlestirp bedeni kaldirip indirerek yapilan harket nedir?,Parende,Sinav,Mekik,Amut,C
499,6,Tip tarihinde klonlanan ilk memeli olan ve 6 yasina kadar yasayan koyun hangi unlu kisiden adini almistir?,Dolly Parton,Eva Peron,Sophia Loren,Marilyn Monroe,A
500,7,TRT'de Resim sevinci adli programda nasil resim cizildigini anlatan ressamin adi nedir?,Benny Hill,Mr. Bean,Bob Ross,Bill Cosby,C
501,1,Onemsiz kucuk sorunu buyutmek anlamidaki sozde hangisinde firtina koparilir?,Bir bardak su,Bir parmak bal,Bir avuc pirinc,Bir fincan kahve,A
502,2,Bir yerden ayrilacak kislnin durumu nedir?,Kara gorundu,Yol gorundu,Ufuk gorundu,Isik gorundu,B
503,3,Hava durumu haberlerlerinde soguk hava genelde nereden gelir?,Kutuplardan,Orta asyadan,Ekvatordan,Balkanlardan,D
504,4,Bankalarin ev sahibi olmak isteyenlere uzun vadeli kredi verdikleri sistem nedir?,Leasing,Factoring,Mortgage,Emisyon,C
505,5,Lokantalarda yazili olmayan kurala gore bahsis hesabin % kacidir?,1,10,18,20,B
506,6,Hangi tatlinin hem tuzlusu yapilir hem de bazen icine tuz konulur?,Sutlac,Kazandibi,Gullac,Sekerpare,A
507,7,TV'de dinlediginiz konusma Istanbul vapurlarinda pazarlama yapan bu kisinin adi nedirr?,Halil Pazarlama,Burhan Pazarlama,Ismet Pazarlama,Servet Pazarlama,B
508,8,Cok insan kafalari olmadigi icin kafayi bozmuyor sozunun sahibi Aklin Metafizigi kitabinin yazari kimdir?,Arthur Schopenhauer,Immanuel Kant,Friedrich Nietzsche,Hegel,A
509,1,Cana yakin olgun iyi kalpli guvenilir erkeklere ne denir?,Afacan,Babacan,Centilmen,Jon,B
510,2,Birine islerin yolunda gitmesi icin ne soylenir?,Bahtin acik olsun,Gozun arkada kalmasin,Ellerin dert gormesin,Allah rahatlik versin,A
511,3,TRT'nin radyo yayinlari nerede yapilir?,Atolye,Saray,Ev,Ajans,C
512,4,Can yelekleri tavandadir hangi ulasim aracinda yazar?,Ucak,Gemi,Otobus,Tren,B
513,5,TV'de dinlediginiz melodiler hangi turkunun adi nedir?,Tokat yollari tasli,Ordunun dereleri,Malatya malatya,Bitliste bes minare,D
514,6,Oscar odullerinin diger adi nedir?,Enstitu Odulleri,Altin Palmiye Odulleri,Hollywood Odulleri,Akademi Odulleri,D
515,7,"Ray Charles, Led Zepplin, Rolling Stones gibi isimleri kesfeden 3 Grammy'li Truk yapimci kimdir?",Ahmet Ertegun,Mehmet Oz,Kudsi Erguner,Burhan Dogancay,A
516,8,Erkek penguenlerin asklarinin simgesi olarak nisan yuzugu olarak verdigi ve disilerin buna gore secim yaptigi nesne nedir?,Balik,Deniz kabugu,Inci,Cakil tasi,D
517,10,1943'te USS Eldridge  adli geminin kaybolup 640 km ileride belirmesi deneyinin adi nedir?,Alaska Deneyi,Philadelphia Deneyi,San Francisco Deneyi,Arizona Deneyi,B
518,1,Cok yalvarmak anlaminda kullanilan soz hangisidir?,Dize getirmek,Dirsek curutmek,Dizlerine kapanmak,Bel baglamak,C
519,2,Birseyin bulunma ihtimalinin az olma durumu samanlikta ne aramaya benzer?,Kurdan,Misket,Pirinc,Igne,D
520,3,Hangisi dogru bir kullanimdir?,Iddia,Iddaa,Iddiaa,Iddiha,A
521,4,Tip fakultesi mezunu olup uzmanlasmayan hekimlere ne denir?,Okutman,Psikolog,Pratisyen,Rehber,C
522,5,Hangisi futbol basketbol gibi takim sporlarina uygulanan en basit hucum taktiklerinden biridir?,Asist,Verkac,Trivela,Endirekt,B
523,6,Yuzuklerin efendisinde yuzugu ele gecirince yaratiga donusup Kiymetlimis diyen hangisidir?,Frodo,Gandalf,Gollum,Aragorn,C
524,1,Mazlumun ahini alanin basina gelecek kotulukler nasil cikar?,Aheste aheste,Kiyi kiyi,Dort nala,Paldir kuldur,A
525,2,Kullanilan kelime ve sozlerin her anlama gelecegi soylenirken Turkce nasil denir?,Dalgali,Lastikli,Seffaf,Kaygan,B
526,1,Bir metni baskasiyla paylasmadan sessizce okumaya ne denir?,Icinden okumak,Ezberden okumak,Cigerini okumak,Gozunden okumak,A
527,2,Karmasik bir isin icinden cikmanin zor oldugu ne tasi ayiklamaya benzetilir?,Pirinc,Bulgur,Nohut,Mercimek,A
528,3,90'larda sacin one gelmesini engellemek icin basa ne takilirdi?,Bone,Vatka,Konc,Bandana,D
529,4,Eski buyuk ve nostaljik radyolara ne denir?,Antenli radyo,Lambali radyo,Ahsap radyo,Tuplu radyo,B
530,1,Sorun sende degil bende ne zaman soylenen klisedir?,Sevgiliden ayrilirken,Istifa ederken,Ortakliktan ayrilirken,Taburcu olurken,A
531,2,Hangisi halk arasinda misafir gelecegine yorulur?,Goz dalmasi,Avuc kasinmasi,Kulak cinlamasi,Mide guruldamasi,A
532,3,Eskiden arkadaslarin birbirlerini tanimasi icin sorulardan olusan deftere ne ad verilirdi?,Akil defteri,Musvedde defteri,Hatira defteri,Anket defteri,D
533,4,Erciyes dagini gorup manti yiyorsaniz hangi sehirdesinizdir?,Mardin,Manisa,Kayseri,Hatay,C
534,5,Ayinin kirk turkusu var kirki da ahlat ustune sozundeki ahlat nedir?,Bal,Balik,Uyku,Armut,D
535,6,E-posta yazarken alicinin disindaki gonderilmek istenen adresler nereye yazilir?,Forward,CC,Spam,Attach,B
536,7,"TV'de dinlediginiz -Bahca duvarindan asti, sarmasik gullere dolasti- turkusunu hangi grup seslendirmektedir?",Grup Yorum,Kardes Turkuler,Ezginin Gunlugu,Uc Hurel,B
537,1,Baygin baygin bakmak hangi durum icin kullanilir?,Saskinlik,Tembellik,Hayranlik,Pismanlik,C
538,1,Anlata anlata bitirememek hangisi icin kullanilir?,Gevezelik,Begenmek,Sasirmak,Sikilmak,B
539,2,Bir kisi hazirladigi yiyecegi sunarken lezzetli oldugunu nasil soyler?,Kesene bereket,Ceneye kuvvet,Agzina saglik,Agzina layik,D
540,3,Eskiden uzun sure kullanildiktan sonra calisirken ziplayarak yuruyen esya hangisiydi?,Camasir makinasi,Bulasik makinasi,Buzdolabi,Klima,A
541,4,Artsitik puan hangi spor dalinda verilir?,Boks,Tenis,Buz pateni,Eskrim,C
542,5,TV'de dinlediginiz ses kime aittir?,Cem Yilmaz,Yilmaz Erdogan,Ata Demirer,Sahan Gokbakar,B
543,6,Ambulanslarin tepe lambalari ne renktir?,Sari,Mavi,Yesil,Kirmizi,B
544,7,Mutluluk bizi zorlayan kadere karsi kazanilan zaferlerin en buyugudur sozu kime aittir?,Victor Hugo,Semuel Beckett,Albert Camus,Alexandre Dumas,C
545,8,Kalcalari havluluyla kurularmis gibi hareket ettirirken bir ayakla da sigara sondurur gibi yapilan dans hangisidir?,Caca,Rock'n Roll,Flamenko,Twist,D
546,9,Yilbasinda agac susleme gelenegi hangi dinden gelmektedir?,Hristiyanlik,Samanizm,Paganizm,Budizm,C
547,10,1968'de Milli Piyango'nun buyuk ikramiyesi 50000 lirayi kazanip kizina aldiran devlet adami kimdir?,Ismet Inonu,Turan Gunes,Cemal Gursel,Celal Bayar,A
548,1,Bahari basina vurmak ne zamani belirtir?,Bebeklik,Cocukluk,Genclik,Yaslilik,C
549,2,2 ters bir duz hangisinde kullanilir?,Orgu ormek,Mehter yuruyusu,Pirinc ayiklamak,Para saymak,A
550,3,Vucut calisanlar vucutlarini neye benzetmek isterler?,Kare,Kup,Silindir,Ucgen,D
551,4,Derdinle ilgilenecek hic kimseyi bulamazsin anlamindaki sozde kisinin derdini kime anlatmasu soylenir?,Lokman Hekim,Abdurrahman Celebi,Marko Pasa,Ali Cengiz,C
552,5,TV'de dinlediginiz butun dunya buna inansa sarkisini kim seslendirmektedir?,Humeyra,Senay,Nilufer,Fusun Onal,B
553,1,Cogu insanin yapmayi beceremedigi fiyat dusurmek icin saticiyla yapilan konusma nedir?,Ortaklik,Firsatcilik,Pazarlik,Isguzarlik,C
554,2,Boy vermek nerede kullanilir?,Denizde,Kuyuda,Koprude,Dagda,A
555,3,Cok renkli canli nasil ifade edilir?,Karman corman,Bortu bocek,Dalli gullu,Gulluk gulistanlik,C
556,4,Kiyafetleri iyi ve duzgun tasiyan mankenler hangisine benzetilir?,Aski,Cerceve,Oklava,Vestiyer,A
557,5,Akil disi hangisi icin kullanilan bir sozdur?,Sut disi,20 yas disi,Kopek disi,Azi disi,B
558,8,Mevlana'nin adindaki Rumi'nin anlami nedir?,Gunes,Yuce,Anadolulu,Efendimiz,C
